X,Y,Theta
58.56,43.59,101.97
58.59,43.52,102.08
58.62,43.44,102.18
58.65,43.37,102.29
58.68,43.29,102.39
58.71,43.22,102.5
58.74,43.14,102.6
58.77,43.07,102.71
58.8,42.99,102.81
58.83,42.92,102.92
58.86,42.84,103.02
58.89,42.77,103.13
58.92,42.69,103.23
58.95,42.62,103.34
58.98,42.54,103.44
59.01,42.47,103.55
59.04,42.39,103.65
59.07,42.32,103.76
59.1,42.24,103.86
59.13,42.17,103.97
59.16,42.09,104.07
59.19,42.02,104.18
59.22,41.94,104.28
59.25,41.87,104.39
59.28,41.79,104.49
59.31,41.72,104.6
59.34,41.64,104.7
59.37,41.57,104.81
59.4,41.49,104.91
59.43,41.42,105.02
59.46,41.34,105.12
59.49,41.27,105.23
59.52,41.19,105.33
59.55,41.12,105.44
59.58,41.04,105.54
59.61,40.97,105.65
59.64,40.89,105.75
59.67,40.82,105.86
59.7,40.74,105.96
59.73,40.67,106.07
59.76,40.59,106.17
59.79,40.52,106.28
59.82,40.44,106.38
59.85,40.37,106.49
59.88,40.29,106.59
59.91,40.22,106.7
59.94,40.14,106.8
59.97,40.07,106.91
60,39.99,107.01
60.02,39.91,107.12
60.03,39.84,107.22
60.05,39.76,107.33
60.06,39.69,107.43
60.08,39.61,107.54
60.09,39.54,107.64
60.11,39.46,107.75
60.12,39.39,107.85
60.14,39.31,107.96
60.15,39.24,108.06
60.17,39.16,108.17
60.18,39.09,108.27
60.2,39.01,108.38
60.21,38.94,108.48
60.23,38.86,108.59
60.24,38.79,108.69
60.26,38.71,108.8
60.27,38.64,108.9
60.29,38.56,109.01
60.3,38.49,109.12
60.32,38.41,109.22
60.33,38.34,109.33
60.35,38.26,109.43
60.36,38.19,109.54
60.38,38.11,109.64
60.39,38.04,109.75
60.41,37.96,109.85
60.42,37.89,109.96
60.44,37.81,110.06
60.45,37.74,110.17
60.47,37.66,110.27
60.48,37.59,110.38
60.5,37.51,110.48
60.51,37.44,110.59
60.53,37.36,110.69
60.54,37.29,110.8
60.56,37.21,110.9
60.57,37.14,111.01
60.59,37.06,111.11
60.6,36.99,111.22
60.62,36.91,111.32
60.63,36.84,111.43
60.65,36.76,111.53
60.66,36.69,111.64
60.68,36.61,111.74
60.69,36.54,111.85
60.71,36.46,111.95
60.72,36.39,112.06
60.74,36.31,112.16
60.75,36.24,112.27
60.77,36.16,112.37
60.78,36.09,112.48
60.8,36.01,112.58
60.81,35.94,112.69
60.83,35.86,112.79
60.84,35.79,112.9
60.86,35.71,113
60.87,35.64,113.11
60.89,35.56,113.21
60.9,35.49,113.32
60.92,35.41,113.42
60.93,35.34,113.53
60.95,35.26,113.63
60.96,35.19,113.74
60.98,35.11,113.84
60.99,35.04,113.95
61.01,34.96,114.08
61.02,34.89,114.23
61.04,34.81,114.38
61.05,34.74,114.53
61.07,34.66,114.68
61.08,34.59,114.83
61.1,34.51,114.98
61.11,34.44,115.13
61.13,34.36,115.28
61.14,34.29,115.43
61.16,34.21,115.58
61.17,34.14,115.73
61.19,34.06,115.88
61.2,33.99,116.03
61.22,33.91,116.18
61.23,33.84,116.33
61.25,33.76,116.48
61.26,33.69,116.63
61.28,33.61,116.78
61.29,33.54,116.93
61.31,33.46,117.08
61.32,33.39,117.23
61.34,33.31,117.38
61.35,33.24,117.53
61.37,33.16,117.68
61.38,33.09,117.83
61.4,33.01,117.98
61.41,32.94,118.13
61.43,32.86,118.28
61.44,32.79,118.43
61.46,32.71,118.58
61.47,32.64,118.73
61.49,32.56,118.88
61.5,32.49,119.03
61.52,32.41,119.18
61.53,32.34,119.33
61.55,32.26,119.48
61.56,32.19,119.63
61.58,32.11,119.78
61.59,32.04,119.93
61.61,31.96,120.08
61.62,31.89,120.23
61.64,31.81,120.38
61.65,31.74,120.53
61.67,31.66,120.68
61.68,31.59,120.83
61.7,31.51,120.98
61.71,31.44,121.13
61.73,31.36,121.28
61.74,31.29,121.43
61.76,31.21,121.58
61.77,31.14,121.73
61.79,31.06,121.88
61.8,30.99,122.03
61.82,30.91,122.18
61.83,30.84,122.33
61.85,30.76,122.48
61.86,30.69,122.63
61.88,30.61,122.78
61.89,30.54,122.93
61.91,30.46,123.08
61.92,30.39,123.23
61.94,30.31,123.38
61.95,30.24,123.53
61.97,30.16,123.68
61.98,30.09,123.83
62,30.01,123.98
62.01,29.93,124.09
62.03,29.86,124.2
62.04,29.78,124.3
62.06,29.71,124.41
62.07,29.63,124.51
62.09,29.56,124.62
62.1,29.48,124.72
62.12,29.41,124.83
62.13,29.33,124.93
62.15,29.26,125.04
62.16,29.18,125.14
62.18,29.11,125.25
62.19,29.03,125.35
62.21,28.96,125.46
62.22,28.88,125.56
62.24,28.81,125.67
62.25,28.73,125.77
62.27,28.66,125.88
62.28,28.58,125.98
62.3,28.51,126.09
62.31,28.43,126.19
62.33,28.36,126.3
62.34,28.28,126.4
62.36,28.21,126.51
62.37,28.13,126.61
62.39,28.06,126.72
62.4,27.98,126.82
62.42,27.91,126.93
62.43,27.83,127.03
62.45,27.76,127.14
62.46,27.68,127.24
62.48,27.61,127.35
62.49,27.53,127.45
62.51,27.46,127.56
62.52,27.38,127.66
62.54,27.31,127.77
62.55,27.23,127.87
62.57,27.16,127.98
62.58,27.08,128.08
62.6,27.01,128.19
62.61,26.93,128.29
62.63,26.86,128.4
62.64,26.78,128.5
62.66,26.71,128.61
62.67,26.63,128.71
62.69,26.56,128.82
62.7,26.48,128.92
62.72,26.41,129.03
62.73,26.33,129.13
62.75,26.26,129.24
62.76,26.18,129.34
62.78,26.11,129.45
62.79,26.03,129.55
62.81,25.96,129.66
62.82,25.88,129.76
62.84,25.81,129.87
62.85,25.73,129.97
62.87,25.66,130.08
62.88,25.58,130.18
62.9,25.51,130.29
62.91,25.43,130.39
62.93,25.36,130.5
62.94,25.28,130.6
62.96,25.21,130.71
62.97,25.13,130.81
62.99,25.06,130.92
63,24.98,131.02
62.99,24.91,131.13
62.98,24.83,131.23
