X,Y
59.58,41.04
59.61,40.97
59.64,40.89
59.67,40.82
59.7,40.74
59.73,40.67
59.76,40.59
59.79,40.52
59.82,40.44
59.85,40.37
59.88,40.29
59.91,40.22
59.94,40.14
59.97,40.07
60.0,39.99
60.02,39.91
60.03,39.84
60.05,39.76
60.06,39.69
60.08,39.61
60.09,39.54
60.11,39.46
60.12,39.39
60.14,39.31
60.15,39.24
60.17,39.16
60.18,39.09
60.2,39.01
60.21,38.94
60.23,38.86
60.24,38.79
60.26,38.71
60.27,38.64
60.29,38.56
60.3,38.49
60.32,38.41
60.33,38.34
60.35,38.26
60.36,38.19
60.38,38.11
60.39,38.04
60.41,37.96
60.42,37.89
60.44,37.81
60.45,37.74
60.47,37.66
60.48,37.59
60.5,37.51
60.51,37.44
60.53,37.36
60.54,37.29
60.56,37.21
60.57,37.14
60.59,37.06
60.6,36.99
60.62,36.91
60.63,36.84
60.65,36.76
60.66,36.69
60.68,36.61
60.69,36.54
60.71,36.46
60.72,36.39
60.74,36.31
60.75,36.24
60.77,36.16
60.78,36.09
60.8,36.01
60.81,35.94
60.83,35.86
60.84,35.79
60.86,35.71
60.87,35.64
60.89,35.56
60.9,35.49
60.92,35.41
60.93,35.34
60.95,35.26
60.96,35.19
60.98,35.11
60.99,35.04
61.01,34.96
61.02,34.89
61.04,34.81
61.05,34.74
61.07,34.66
61.08,34.59
61.1,34.51
61.11,34.44
61.13,34.36
61.14,34.29
61.16,34.21
61.17,34.14
61.19,34.06
61.2,33.99
61.22,33.91
61.23,33.84
61.25,33.76
61.26,33.69
61.28,33.61
61.29,33.54
61.31,33.46
61.32,33.39
61.34,33.31
61.35,33.24
61.37,33.16
61.38,33.09
61.4,33.01
61.41,32.94
61.43,32.86
61.44,32.79
61.46,32.71
61.47,32.64
61.49,32.56
61.5,32.49
61.52,32.41
61.53,32.34
61.55,32.26
61.56,32.19
61.58,32.11
61.59,32.04
61.61,31.96
61.62,31.89
61.64,31.81
61.65,31.74
61.67,31.66
61.68,31.59
61.7,31.51
61.71,31.44
61.73,31.36
61.74,31.29
61.76,31.21
61.77,31.14
61.79,31.06
61.8,30.99
61.82,30.91
61.83,30.84
61.85,30.76
61.86,30.69
61.88,30.61
61.89,30.54
61.91,30.46
61.92,30.39
61.94,30.31
61.95,30.24
61.97,30.16
61.98,30.09
62.0,30.01
62.01,29.93
62.03,29.86
62.04,29.78
62.06,29.71
62.07,29.63
62.09,29.56
62.1,29.48
62.12,29.41
62.13,29.33
62.15,29.26
62.16,29.18
62.18,29.11
62.19,29.03
62.21,28.96
62.22,28.88
62.24,28.81
62.25,28.73
62.27,28.66
62.28,28.58
62.3,28.51
62.31,28.43
62.33,28.36
62.34,28.28
62.36,28.21
62.37,28.13
62.39,28.06
62.4,27.98
62.42,27.91
62.43,27.83
62.45,27.76
62.46,27.68
62.48,27.61
62.49,27.53
62.51,27.46
62.52,27.38
62.54,27.31
62.55,27.23
62.57,27.16
62.58,27.08
62.6,27.01
62.61,26.93
62.63,26.86
62.64,26.78
62.66,26.71
62.67,26.63
62.69,26.56
62.7,26.48
62.72,26.41
62.73,26.33
62.75,26.26
62.76,26.18
62.78,26.11
62.79,26.03
62.81,25.96
62.82,25.88
62.84,25.81
62.85,25.73
62.87,25.66
62.88,25.58
62.9,25.51
62.91,25.43
62.93,25.36
62.94,25.28
62.96,25.21
62.97,25.13
62.99,25.06
63.0,24.98
62.99,24.91
62.98,24.83
62.98,24.76
62.97,24.68
62.96,24.61
62.95,24.53
62.95,24.46
62.94,24.38
62.93,24.31
62.92,24.23
62.92,24.16
62.91,24.08
62.9,24.01
62.89,23.93
62.89,23.86
62.88,23.78
62.87,23.71
62.86,23.63
62.86,23.56
62.85,23.48
62.84,23.41
62.83,23.33
62.83,23.26
62.82,23.18
62.81,23.11
62.8,23.03
62.8,22.96
62.79,22.88
62.78,22.81
62.77,22.73
62.77,22.66
62.76,22.58
62.75,22.51
62.74,22.43
62.74,22.36
62.73,22.28
62.72,22.21
62.71,22.13
62.71,22.06
62.7,21.98
62.69,21.91
62.68,21.83
62.68,21.76
62.67,21.68
62.66,21.61
62.65,21.53
62.65,21.46
62.64,21.38
62.63,21.31
62.62,21.23
62.62,21.16
62.61,21.08
62.6,21.01
62.59,20.93
62.59,20.86
62.58,20.78
62.57,20.71
62.56,20.63
62.56,20.56
62.55,20.48
62.54,20.41
62.53,20.33
62.53,20.26
62.52,20.18
62.51,20.11
62.5,20.03
62.5,19.95
62.49,19.88
62.48,19.8
62.47,19.73
62.47,19.65
62.46,19.58
62.45,19.5
62.44,19.43
62.44,19.35
62.43,19.28
62.42,19.2
62.41,19.13
62.41,19.05
62.4,18.98
62.39,18.9
62.38,18.83
62.38,18.75
62.37,18.68
62.36,18.6
62.35,18.53
62.35,18.45
62.34,18.38
62.33,18.3
62.32,18.23
62.32,18.15
62.31,18.08
62.3,18.0
62.29,17.93
62.29,17.85
62.28,17.78
62.27,17.7
62.26,17.63
62.26,17.55
62.25,17.48
62.24,17.4
62.23,17.33
62.23,17.25
62.22,17.18
62.21,17.1
62.2,17.03
62.2,16.95
62.19,16.88
62.18,16.8
62.17,16.73
62.17,16.65
62.16,16.58
62.15,16.5
62.14,16.43
62.14,16.35
62.13,16.28
62.12,16.2
62.11,16.13
62.11,16.05
62.1,15.98
62.09,15.9
62.08,15.83
62.08,15.75
62.07,15.68
62.06,15.6
62.05,15.53
62.05,15.45
